Year,Age,Sex,Country,Population
2020,  0-4,Total,England,3239447.0
2020,  5-9,Total,England,3539458.0
2020, 10-14,Total,England,3435579.0
2020, 15-19,Total,England,3115871.0
2020, 20-24,Total,England,3472522.0
2020, 25-29,Total,England,3771493.0
2020, 30-34,Total,England,3824652.0
2020, 35-39,Total,England,3738209.0
2020, 40-44,Total,England,3476303.0
2020, 45-49,Total,England,3638639.0
2020, 50-54,Total,England,3875351.0
2020, 55-59,Total,England,3761782.0
2020, 60-64,Total,England,3196813.0
2020, 65-69,Total,England,2784300.0
2020, 70-74,Total,England,2814128.0
2020, 75-79,Total,England,2009992.0
2020, 80-84,Total,England,1449189.0
2020, 85-89,Total,England,885343.0
2020, 90-94,Total,England,401792.0
2020, 95-99,Total,England,106263.0
2020, 100 & over,Total,England,13012.0
2020,All ages,Total,England,56550138.0
2021,  0-4,Total,England,3144441.0
2021,  5-9,Total,England,3530787.0
2021, 10-14,Total,England,3501625.0
2021, 15-19,Total,England,3176130.0
2021, 20-24,Total,England,3421545.0
2021, 25-29,Total,England,3718388.0
2021, 30-34,Total,England,3843535.0
2021, 35-39,Total,England,3742177.0
2021, 40-44,Total,England,3547402.0
2021, 45-49,Total,England,3529885.0
2021, 50-54,Total,England,3864205.0
2021, 55-59,Total,England,3820085.0
2021, 60-64,Total,England,3289911.0
2021, 65-69,Total,England,2806835.0
2021, 70-74,Total,England,2823775.0
2021, 75-79,Total,England,2109518.0
2021, 80-84,Total,England,1440050.0
2021, 85-89,Total,England,899188.0
2021, 90-94,Total,England,409815.0
2021, 95-99,Total,England,107320.0
2021, 100 & over,Total,England,13971.0
2021,All ages,Total,England,56740588.0
2022,  0-4,Total,England,3078433.0
2022,  5-9,Total,England,3504487.0
2022, 10-14,Total,England,3583656.0
2022, 15-19,Total,England,3294249.0
2022, 20-24,Total,England,3423319.0
2022, 25-29,Total,England,3736331.0
2022, 30-34,Total,England,3884900.0
2022, 35-39,Total,England,3762152.0
2022, 40-44,Total,England,3637774.0
2022, 45-49,Total,England,3444766.0
2022, 50-54,Total,England,3838116.0
2022, 55-59,Total,England,3860899.0
2022, 60-64,Total,England,3393147.0
2022, 65-69,Total,England,2860818.0
2022, 70-74,Total,England,2695200.0
2022, 75-79,Total,England,2312163.0
2022, 80-84,Total,England,1455790.0
2022, 85-89,Total,England,918150.0
2022, 90-94,Total,England,416204.0
2022, 95-99,Total,England,108740.0
2022, 100 & over,Total,England,14262.0
2022,All ages,Total,England,57223556.0
2023,  0-4,Total,England,3009287.0
2023,  5-9,Total,England,3471988.0
2023, 10-14,Total,England,3612893.0
2023, 15-19,Total,England,3400867.0
2023, 20-24,Total,England,3407526.0
2023, 25-29,Total,England,3735853.0
2023, 30-34,Total,England,3875089.0
2023, 35-39,Total,England,3793086.0
2023, 40-44,Total,England,3711252.0
2023, 45-49,Total,England,3395371.0
2023, 50-54,Total,England,3788533.0
2023, 55-59,Total,England,3871649.0
2023, 60-64,Total,England,3487261.0
2023, 65-69,Total,England,2922478.0
2023, 70-74,Total,England,2635129.0
2023, 75-79,Total,England,2422655.0
2023, 80-84,Total,England,1502479.0
2023, 85-89,Total,England,944439.0
2023, 90-94,Total,England,421814.0
2023, 95-99,Total,England,111288.0
2023, 100 & over,Total,England,14499.0
2023,All ages,Total,England,57535436.0
2024,  0-4,Total,England,2959662.0
2024,  5-9,Total,England,3432605.0
2024, 10-14,Total,England,3631730.0
2024, 15-19,Total,England,3483873.0
2024, 20-24,Total,England,3405684.0
2024, 25-29,Total,England,3730232.0
2024, 30-34,Total,England,3875136.0
2024, 35-39,Total,England,3821708.0
2024, 40-44,Total,England,3731422.0
2024, 45-49,Total,England,3421699.0
2024, 50-54,Total,England,3709434.0
2024, 55-59,Total,England,3866367.0
2024, 60-64,Total,England,3585720.0
2024, 65-69,Total,England,2990469.0
2024, 70-74,Total,England,2614655.0
2024, 75-79,Total,England,2472394.0
2024, 80-84,Total,England,1569854.0
2024, 85-89,Total,England,968799.0
2024, 90-94,Total,England,427169.0
2024, 95-99,Total,England,114715.0
2024, 100 & over,Total,England,14741.0
2024,All ages,Total,England,57828068.0
2025,  0-4,Total,England,2927720.0
2025,  5-9,Total,England,3375484.0
2025, 10-14,Total,England,3634517.0
2025, 15-19,Total,England,3565274.0
2025, 20-24,Total,England,3425660.0
2025, 25-29,Total,England,3723237.0
2025, 30-34,Total,England,3851520.0
2025, 35-39,Total,England,3840781.0
2025, 40-44,Total,England,3739937.0
2025, 45-49,Total,England,3487185.0
2025, 50-54,Total,England,3636495.0
2025, 55-59,Total,England,3837134.0
2025, 60-64,Total,England,3676459.0
2025, 65-69,Total,England,3074940.0
2025, 70-74,Total,England,2607972.0
2025, 75-79,Total,England,2506266.0
2025, 80-84,Total,England,1635165.0
2025, 85-89,Total,England,982480.0
2025, 90-94,Total,England,435838.0
2025, 95-99,Total,England,119387.0
2025, 100 & over,Total,England,15052.0
2025,All ages,Total,England,58098503.0
2026,  0-4,Total,England,2919501.0
2026,  5-9,Total,England,3284319.0
2026, 10-14,Total,England,3627828.0
2026, 15-19,Total,England,3630310.0
2026, 20-24,Total,England,3480166.0
2026, 25-29,Total,England,3695769.0
2026, 30-34,Total,England,3820817.0
2026, 35-39,Total,England,3872793.0
2026, 40-44,Total,England,3751582.0
2026, 45-49,Total,England,3562240.0
2026, 50-54,Total,England,3532746.0
2026, 55-59,Total,England,3829652.0
2026, 60-64,Total,England,3736096.0
2026, 65-69,Total,England,3167499.0
2026, 70-74,Total,England,2632700.0
2026, 75-79,Total,England,2516729.0
2026, 80-84,Total,England,1719352.0
2026, 85-89,Total,England,979178.0
2026, 90-94,Total,England,446881.0
2026, 95-99,Total,England,122904.0
2026, 100 & over,Total,England,15427.0
2026,All ages,Total,England,58344489.0
2027,  0-4,Total,England,2917145.0
2027,  5-9,Total,England,3197655.0
2027, 10-14,Total,England,3587716.0
2027, 15-19,Total,England,3696270.0
2027, 20-24,Total,England,3559197.0
2027, 25-29,Total,England,3645735.0
2027, 30-34,Total,England,3808733.0
2027, 35-39,Total,England,3897876.0
2027, 40-44,Total,England,3761549.0
2027, 45-49,Total,England,3642601.0
2027, 50-54,Total,England,3441100.0
2027, 55-59,Total,England,3798190.0
2027, 60-64,Total,England,3771974.0
2027, 65-69,Total,England,3263424.0
2027, 70-74,Total,England,2682245.0
2027, 75-79,Total,England,2406165.0
2027, 80-84,Total,England,1891066.0
2027, 85-89,Total,England,994668.0
2027, 90-94,Total,England,460237.0
2027, 95-99,Total,England,125960.0
2027, 100 & over,Total,England,15824.0
2027,All ages,Total,England,58565330.0
2028,  0-4,Total,England,2917108.0
2028,  5-9,Total,England,3122393.0
2028, 10-14,Total,England,3551030.0
2028, 15-19,Total,England,3720184.0
2028, 20-24,Total,England,3651858.0
2028, 25-29,Total,England,3617266.0
2028, 30-34,Total,England,3802719.0
2028, 35-39,Total,England,3885315.0
2028, 40-44,Total,England,3790506.0
2028, 45-49,Total,England,3713059.0
2028, 50-54,Total,England,3390497.0
2028, 55-59,Total,England,3748160.0
2028, 60-64,Total,England,3781731.0
2028, 65-69,Total,England,3353356.0
2028, 70-74,Total,England,2740576.0
2028, 75-79,Total,England,2355628.0
2028, 80-84,Total,England,1984167.0
2028, 85-89,Total,England,1032309.0
2028, 90-94,Total,England,475802.0
2028, 95-99,Total,England,128125.0
2028, 100 & over,Total,England,16250.0
2028,All ages,Total,England,58778039.0
2029,  0-4,Total,England,2913682.0
2029,  5-9,Total,England,3067918.0
2029, 10-14,Total,England,3508552.0
2029, 15-19,Total,England,3735344.0
2029, 20-24,Total,England,3725085.0
2029, 25-29,Total,England,3605212.0
2029, 30-34,Total,England,3792730.0
2029, 35-39,Total,England,3883235.0
2029, 40-44,Total,England,3817604.0
2029, 45-49,Total,England,3731345.0
2029, 50-54,Total,England,3415207.0
2029, 55-59,Total,England,3669680.0
2029, 60-64,Total,England,3776447.0
2029, 65-69,Total,England,3447739.0
2029, 70-74,Total,England,2805048.0
2029, 75-79,Total,England,2339876.0
2029, 80-84,Total,England,2026343.0
2029, 85-89,Total,England,1084493.0
2029, 90-94,Total,England,489892.0
2029, 95-99,Total,England,130526.0
2029, 100 & over,Total,England,16842.0
2029,All ages,Total,England,58982800.0
2030,  0-4,Total,England,2909432.0
2030,  5-9,Total,England,3032588.0
2030, 10-14,Total,England,3449430.0
2030, 15-19,Total,England,3735792.0
2030, 20-24,Total,England,3800527.0
2030, 25-29,Total,England,3618079.0
2030, 30-34,Total,England,3782673.0
2030, 35-39,Total,England,3858308.0
2030, 40-44,Total,England,3835712.0
2030, 45-49,Total,England,3738801.0
2030, 50-54,Total,England,3479087.0
2030, 55-59,Total,England,3597757.0
2030, 60-64,Total,England,3748294.0
2030, 65-69,Total,England,3534996.0
2030, 70-74,Total,England,2885007.0
2030, 75-79,Total,England,2336008.0
2030, 80-84,Total,England,2053703.0
2030, 85-89,Total,England,1133130.0
2030, 90-94,Total,England,498374.0
2030, 95-99,Total,England,134527.0
2030, 100 & over,Total,England,17668.0
2030,All ages,Total,England,59179893.0
2031,  0-4,Total,England,2907035.0
2031,  5-9,Total,England,3022642.0
2031, 10-14,Total,England,3357354.0
2031, 15-19,Total,England,3727977.0
2031, 20-24,Total,England,3862838.0
2031, 25-29,Total,England,3668893.0
2031, 30-34,Total,England,3753586.0
2031, 35-39,Total,England,3827105.0
2031, 40-44,Total,England,3867087.0
2031, 45-49,Total,England,3749949.0
2031, 50-54,Total,England,3552850.0
2031, 55-59,Total,England,3496246.0
2031, 60-64,Total,England,3741814.0
2031, 65-69,Total,England,3592916.0
2031, 70-74,Total,England,2973080.0
2031, 75-79,Total,England,2360334.0
2031, 80-84,Total,England,2061005.0
